url,price_per_month,m2,price_m2,bedrooms,bathrooms,encoded_neighborhood
https://www.habitaclia.com/alquiler-piso-con_4_habitaciones_con_ascensor_la_nova_esquerra_de_l_eixample-barcelona-i715002182285.htm?pag=9&f=&geo=p&from=list&lo=55,2200,122,18.03,4,2,35
https://www.habitaclia.com/alquiler-piso-luminoso_con_5_balcones_en_centro_de_calle_de_gravina_8_raval-barcelona-i41111000000005.htm?pag=9&f=&geo=p&from=list&lo=55,2850,90,31.67,2,2,37
https://www.habitaclia.com/alquiler-piso-a_estrenar_calle_d_arago_406_dreta_de_l_eixample-barcelona-i10052004408936.htm?pag=9&f=&geo=p&from=list&lo=55,1950,90,21.67,3,2,48
https://www.habitaclia.com/alquiler-piso-2_habitaciones_37_metros_a_70_metros_playa_barceloneta-barcelona-i19652004450051.htm?pag=9&f=&geo=p&from=list&lo=55,850,37,22.97,2,1,31
https://www.habitaclia.com/alquiler-piso-ataulf_gotic-barcelona-i4807004429425.htm?pag=9&f=&geo=p&from=list&lo=55,2000,150,13.33,4,2,42
https://www.habitaclia.com/alquiler-casa-zona_comuntaria_piscina_avenida_de_vallcarca_209_vallcarca_penitents-barcelona-i4493003642713.htm?pag=9&f=&geo=p&from=list&lo=55,1490,80,18.63,3,2,25
https://www.habitaclia.com/alquiler-piso-poblenou_3h_2_banos_piscina_parking_provenc_als_del_poblenou-barcelona-i4974004416073.htm?pag=9&f=&geo=p&from=list&lo=55,1700,95,17.89,3,2,39
https://www.habitaclia.com/alquiler-piso-exterior_y_tranquilo_amueblado_l_antiga_esquerra_de_l_eixample-barcelona-i3391004492701.htm?pag=9&f=&geo=p&from=list&lo=55,1525,40,38.13,1,1,40
https://www.habitaclia.com/alquiler-loft-en_raval-barcelona-i42306000000254.htm?pag=9&f=&geo=p&from=list&lo=55,700,20,35.0,1,1,37
https://www.habitaclia.com/alquiler-piso-temporal_nuevo_a_estrenar_gotic-barcelona-i29444000000068.htm?pag=9&f=&geo=p&from=list&lo=55,1600,75,21.33,2,1,42
https://www.habitaclia.com/alquiler-piso-en_putget_farro-barcelona-i4642004272855.htm?pag=9&f=&geo=p&from=list&lo=55,1450,61,23.77,1,1,26
https://www.habitaclia.com/alquiler-piso-finca_regia_sant_antoni_sant_antoni-barcelona-i3391004492703.htm?pag=9&f=&geo=p&from=list&lo=55,1600,63,25.4,2,1,33
https://www.habitaclia.com/alquiler-piso-en_en_con_35_m2_1_habitaciones_y_1_banos_y_barceloneta-barcelona-i25102000000045.htm?pag=9&f=&geo=p&from=list&lo=55,950,35,27.14,1,1,31
https://www.habitaclia.com/alquiler-piso-en_l_antiga_esquerra_de_l_eixample-barcelona-i35445004424337.htm?pag=9&f=&geo=p&from=list&lo=55,2000,130,15.38,1,1,40
https://www.habitaclia.com/alquiler-piso-con_4_habitaciones_con_ascensor_y_calefaccion_avenida_diagonal_580_sant_gervasi_galvany-barcelona-i42706000000154.htm?pag=9&f=&geo=p&from=list&lo=55,4300,200,21.5,4,2,49
https://www.habitaclia.com/alquiler-piso-temporal_nuevo_a_estrenar_gotic-barcelona-i29444000000068.htm?pag=10&f=&geo=p&from=list&lo=55,1600,75,21.33,2,1,42
https://www.habitaclia.com/alquiler-piso-en_putget_farro-barcelona-i4642004272855.htm?pag=10&f=&geo=p&from=list&lo=55,1450,61,23.77,1,1,26
https://www.habitaclia.com/alquiler-piso-finca_regia_sant_antoni_sant_antoni-barcelona-i3391004492703.htm?pag=10&f=&geo=p&from=list&lo=55,1600,63,25.4,2,1,33
https://www.habitaclia.com/alquiler-piso-en_en_con_35_m2_1_habitaciones_y_1_banos_y_barceloneta-barcelona-i25102000000045.htm?pag=10&f=&geo=p&from=list&lo=55,950,35,27.14,1,1,31
https://www.habitaclia.com/alquiler-piso-en_l_antiga_esquerra_de_l_eixample-barcelona-i35445004424337.htm?pag=10&f=&geo=p&from=list&lo=55,2000,130,15.38,1,1,40
https://www.habitaclia.com/alquiler-piso-con_4_habitaciones_con_ascensor_y_calefaccion_avenida_diagonal_580_sant_gervasi_galvany-barcelona-i42706000000154.htm?pag=10&f=&geo=p&from=list&lo=55,4300,200,21.5,4,2,49
https://www.habitaclia.com/alquiler-piso-de_3_habitaciones_con_terraza_de_42m2_sant_gervasi_galvany-barcelona-i4781004435381.htm?pag=10&f=&geo=p&from=list&lo=55,2350,122,19.26,3,2,49
https://www.habitaclia.com/alquiler-piso-con_6_habitaciones_con_ascensor_y_calefaccion_el_parc_i_la_llacuna_del_poblenou-barcelona-i5513004434145.htm?pag=10&f=&geo=p&from=list&lo=55,1750,150,11.67,6,2,34
https://www.habitaclia.com/alquiler-piso-3_dormitorios_con_parking_tres_torres-barcelona-i2345003907911.htm?pag=10&f=&geo=p&from=list&lo=55,3000,128,23.44,3,2,43
https://www.habitaclia.com/alquiler-piso-en_pedralbes_pedralbes-barcelona-i27216000000410.htm?pag=10&f=&geo=p&from=list&lo=55,1600,75,21.33,2,2,53
https://www.habitaclia.com/alquiler-apartamento-wonderfulold_style_heart_of_city_passatge_de_valeri_serra_3_l_antiga_esquerra_de_l_eixample-barcelona-i2642004461173.htm?pag=10&f=&geo=p&from=list&lo=55,1800,60,30.0,1,2,40
https://www.habitaclia.com/alquiler-piso-sant_gervasi_galvany-barcelona-i40455000000084.htm?pag=10&f=&geo=p&from=list&lo=55,4900,350,14.0,5,4,49
https://www.habitaclia.com/alquiler-piso-junto_al_mercado_de_la_boqueria_calle_d_en_roca_18_gotic-barcelona-i2505004332532.htm?pag=10&f=&geo=p&from=list&lo=55,950,48,19.79,2,1,42
https://www.habitaclia.com/alquiler-atico-con_3_habitaciones_amueblado_con_ascensor_calefaccion_y_a_dreta_de_l_eixample-barcelona-i3839004360596.htm?pag=10&f=&geo=p&from=list&lo=55,2900,150,19.33,3,2,48
https://www.habitaclia.com/alquiler-piso-reformado_dos_habitaciones_dobles_junto_sagrada_familia_sagrada_familia-barcelona-i4517004227650.htm?pag=10&f=&geo=p&from=list&lo=55,1300,60,21.67,2,1,32
https://www.habitaclia.com/alquiler-piso-amplio_y_luminoso_en_diagonal_francesc_macia_sant_gervasi_galvany-barcelona-i10344003630698.htm?pag=11&f=&geo=p&from=list&lo=55,3000,191,15.71,4,2,49
