url,title,city,neighborhood,price_per_month,m2,price_m2,bedrooms,bathrooms,year_of_construction,air_conditioner
https://www.habitaclia.com/alquiler-piso-poblenou-barcelona-i3846004386884.htm?pag=5&f=&geo=p&from=list&lo=55,Alquiler piso en Poblenou Barcelona,Barcelona,Poblenou,1400,65,21.54,2,1,1910,False
https://www.habitaclia.com/alquiler-apartamento-de_1_dormitorio_en_gracia_vila_de_gracia-barcelona-i31390000000265.htm?pag=5&f=&geo=p&from=list&lo=55,Alquiler apartamento  de 1 dormitorio en gràcia en Barcelona,Barcelona,Vila de Gràcia,2105,50,42.1,1,1,-1,True
https://www.habitaclia.com/alquiler-apartamento-3_dormitorios_en_gracia_el_camp_d_en_grassot_i_gracia_nova-barcelona-i31390000000416.htm?pag=5&f=&geo=p&from=list&lo=55,Alquiler apartamento  3 dormitorios en gràcia en Barcelona,Barcelona,El Camp d´en Grassot i Gràcia Nova,2115,80,26.44,3,2,-1,False
https://www.habitaclia.com/alquiler-apartamento-impresionante_piso_muy_proximo_a_plaza_cataluna_raval-barcelona-i5714000000620.htm?pag=5&f=&geo=p&from=list&lo=55,Alquiler apartamento impresionante piso muy próximo a plaza cataluña en Barcelona,Barcelona,Raval,3500,92,38.04,3,1,-1,True
https://www.habitaclia.com/alquiler-piso-balmes_l_antiga_esquerra_de_l_eixample-barcelona-i5821002627229.htm?pag=5&f=&geo=p&from=list&lo=55,Alquiler piso  balmes - en L´Antiga Esquerra de l´Eixample Barcelona,Barcelona,L´Antiga Esquerra de l´Eixample,2150,120,17.92,4,2,-1,True
https://www.habitaclia.com/alquiler-piso-general_mitre_sant_gervasi_galvany-barcelona-i5821002627233.htm?pag=5&f=&geo=p&from=list&lo=55,Alquiler piso  general mitre - en Sant Gervasi - Galvany Barcelona,Barcelona,Sant Gervasi - Galvany,2650,148,17.91,4,2,-1,True
https://www.habitaclia.com/alquiler-apartamento-en_les_corts_sant_ramon_maternitat-barcelona-i5020004000142.htm?pag=5&f=&geo=p&from=list&lo=55,Alquiler apartamento  en les corts en Sant Ramon - Maternitat Barcelona,Barcelona,Sant Ramon - Maternitat,850,33,25.76,1,1,-1,False
https://www.habitaclia.com/alquiler-piso-cuatro_dormitorios_en_sant_antoni_sant_antoni-barcelona-i5020004000394.htm?pag=6&f=&geo=p&from=list&lo=55,"Alquiler piso ""cuatro dormitorios en Sant Antoni"" en Barcelona",Barcelona,Sant Antoni,1780,89,20,4,2,-1,False
https://www.habitaclia.com/alquiler-apartamento-amueblado_con_calefaccion_y_aire_acondicionado_st_pere_sta_caterina_el_born-barcelona-i30785000002035.htm?pag=6&f=&geo=p&from=list&lo=55,Alquiler apartamento  amueblado con calefacción y aire acondicionado en Barcelona,Barcelona,St. Pere - Sta. Caterina - El Born,1400,75,18.67,1,1,-1,True
https://www.habitaclia.com/alquiler-loft-bonito_en_el_corazon_del_born_dels_ases_3_st_pere_sta_caterina_el_born-barcelona-i5299004351058.htm?pag=6&f=&geo=p&from=list&lo=55,Alquiler loft en dels ases 3 bonito loft en el corazón del born en Barcelona,Barcelona,St. Pere - Sta. Caterina - El Born,1100,45,24.44,1,1,1900,False
https://www.habitaclia.com/alquiler-piso-amueblado_dreta_de_l_eixample-barcelona-i5714000000623.htm?pag=6&f=&geo=p&from=list&lo=55,Alquiler piso  amueblado en Dreta de l´Eixample Barcelona,Barcelona,Dreta de l´Eixample,3350,99,33.84,3,1,-1,True
https://www.habitaclia.com/alquiler-apartamento-con_2_habitaciones_con_piscina_y_aire_acondicionado_gotic-barcelona-i30785000001971.htm?pag=6&f=&geo=p&from=list&lo=55,Alquiler apartamento  con 2 habitaciones con piscina y aire acondicionado en Barcelona,Barcelona,Gòtic,3400,130,26.15,2,2,-1,True
https://www.habitaclia.com/alquiler-piso-con_3_habitaciones_con_ascensor_general_mitre_220_putget_farro-barcelona-i34440000000577.htm?pag=6&f=&geo=p&from=list&lo=55,Alquiler piso en general mitre 220 piso con 3 habitaciones con ascensor en Barcelona,Barcelona,Putget - Farró,1750,147,11.9,3,2,1948,False
https://www.habitaclia.com/alquiler-piso-con_ascensor_y_parking_verdi_321_vallcarca_penitents-barcelona-i34440000000576.htm?pag=6&f=&geo=p&from=list&lo=55,Alquiler piso en verdi 321 piso con ascensor y parking en Barcelona,Barcelona,Vallcarca - Penitents,1195,52,22.98,1,1,2000,False
https://www.habitaclia.com/alquiler-piso-parking_y_trastero_incluidos_st_pere_sta_caterina_el_born-barcelona-i41661000000126.htm?pag=6&f=&geo=p&from=list&lo=55,Alquiler piso parking y trastero incluidos. en St. Pere - Sta. Caterina - El Born Barcelona,Barcelona,St. Pere - Sta. Caterina - El Born,1300,50,26,1,1,-1,True
https://www.habitaclia.com/alquiler-piso-amplio_y_espacioso_en_sants_sants-barcelona-i5020004000146.htm?pag=6&f=&geo=p&from=list&lo=55,Alquiler piso amplio y espacioso en Sants en Sants Barcelona,Barcelona,Sants,1400,82,17.07,3,2,-1,False
https://www.habitaclia.com/alquiler-apartamento-con_4_habitaciones_amueblado_con_calefaccion_raval-barcelona-i30785000002038.htm?pag=6&f=&geo=p&from=list&lo=55,Alquiler apartamento  con 4 habitaciones amueblado con calefacción en Barcelona,Barcelona,Raval,1700,80,21.25,4,1,-1,False
https://www.habitaclia.com/alquiler-atico-con_3_habitaciones_con_ascensor_piscina_calefaccion_y_ai_sant_gervasi_galvany-barcelona-i4948003578364.htm?pag=6&f=&geo=p&from=list&lo=55,"Alquiler ático  con 3 habitaciones con ascensor, piscina, calefacción y aire acondicionado en Barcelona",Barcelona,Sant Gervasi - Galvany,6500,247,26.32,3,2,1939,True
https://www.habitaclia.com/alquiler-piso-general_mitre_sant_gervasi_galvany-barcelona-i5821002627222.htm?pag=6&f=&geo=p&from=list&lo=55,Alquiler piso  general mitre - en Sant Gervasi - Galvany Barcelona,Barcelona,Sant Gervasi - Galvany,2350,148,15.88,4,2,-1,False
https://www.habitaclia.com/alquiler-apartamento-amueblado_gotic-barcelona-i44432000000388.htm?pag=6&f=&geo=p&from=list&lo=55,Alquiler apartamento  amueblado en Gòtic Barcelona,Barcelona,Gòtic,995,37,26.89,1,1,-1,False
https://www.habitaclia.com/alquiler-duplex-vila_de_gracia-barcelona-i21202000000466.htm?pag=6&f=&geo=p&from=list&lo=55,Alquiler dúplex en Vila de Gràcia Barcelona,Barcelona,Vila de Gràcia,1950,60,32.5,1,1,-1,True
https://www.habitaclia.com/alquiler-atico-de_2_dormitorios_y_terraza_en_sant_antoni_sant_antoni-barcelona-i31390000000331.htm?pag=7&f=&geo=p&from=list&lo=55,Alquiler ático  de 2 dormitorios y terraza en Sant Antoni en Barcelona,Barcelona,Sant Antoni,2875,134,21.46,2,2,-1,True
https://www.habitaclia.com/alquiler-piso-encantador_apartamento_con_amplia_terraza_privada_en_sant_gervas_sant_gervasi_galvany-barcelona-i5714000000576.htm?pag=7&f=&geo=p&from=list&lo=55,Alquiler piso encantador apartamento con amplia terraza privada en sant gervasi por temporadas en Barcelona,Barcelona,Sant Gervasi - Galvany,1775,65,27.31,1,1,-1,True
https://www.habitaclia.com/alquiler-loft-bonito_en_el_corazon_del_born_dels_ases_3_st_pere_sta_caterina_el_born-barcelona-i5299004351056.htm?pag=7&f=&geo=p&from=list&lo=55,Alquiler loft en dels ases 3 bonito loft en el corazón del born en Barcelona,Barcelona,St. Pere - Sta. Caterina - El Born,1100,45,24.44,1,1,1900,False
https://www.habitaclia.com/alquiler-piso-reformat_full_equiped_l_antiga_esquerra_de_l_eixample-barcelona-i2642004461174.htm?pag=7&f=&geo=p&from=list&lo=55,Alquiler piso reformat full equiped piso en L´Antiga Esquerra de l´Eixample Barcelona,Barcelona,L´Antiga Esquerra de l´Eixample,1800,65,27.69,1,1,-1,False
https://www.habitaclia.com/alquiler-piso-con_2_habitaciones_con_calefaccion_y_aire_acondicionado_la_nova_esquerra_de_l_eixample-barcelona-i3983004476543.htm?pag=7&f=&geo=p&from=list&lo=55,Alquiler piso  con 2 habitaciones con calefacción y aire acondicionado en Barcelona,Barcelona,La Nova Esquerra de l´Eixample,1500,82,18.29,2,1,1917,True
https://www.habitaclia.com/alquiler-piso-born_st_pere_sta_caterina_el_born-barcelona-i33842000000142.htm?pag=7&f=&geo=p&from=list&lo=55,Alquiler piso alquiler born en St. Pere - Sta. Caterina - El Born Barcelona,Barcelona,St. Pere - Sta. Caterina - El Born,1800,105,17.14,2,1,1790,False
https://www.habitaclia.com/alquiler-piso-gran_amplio_alto_y_luminoso_en_diagonal_francesc_macia_sant_gervasi_galvany-barcelona-i10344003630716.htm?pag=7&f=&geo=p&from=list&lo=55,"Alquiler piso gran piso amplio, alto y luminoso en diagonal-francesc macià en Barcelona",Barcelona,Sant Gervasi - Galvany,4500,188,23.94,3,2,1930,True
https://www.habitaclia.com/alquiler-piso-junto_plaza_rei_raval-barcelona-i29402000000048.htm?pag=7&f=&geo=p&from=list&lo=55,Alquiler piso junto plaza rei en Raval Barcelona,Barcelona,Raval,1200,65,18.46,2,1,1890,True
https://www.habitaclia.com/alquiler-piso-con_4_habitaciones_con_ascensor_y_calefaccion_sant_gervasi_galvany-barcelona-i45420000000063.htm?pag=7&f=&geo=p&from=list&lo=55,Alquiler piso  con 4 habitaciones con ascensor y calefacción en Barcelona,Barcelona,Sant Gervasi - Galvany,4200,214,19.63,4,4,1969,True
https://www.habitaclia.com/alquiler-piso-bonito_en_el_born_al_lado_del_museo_picasso_disponible_a_pa_st_pere_sta_caterina_el_born-barcelona-i45569000000004.htm?pag=7&f=&geo=p&from=list&lo=55,Alquiler piso bonito piso en el born al lado del museo picasso disponible a partir del 1 de febrero 2024 en Barcelona,Barcelona,St. Pere - Sta. Caterina - El Born,1800,102,17.65,3,1,1936,True
https://www.habitaclia.com/alquiler-atico-espectacular_en_tres_torres_tres_torres-barcelona-i45133000000077.htm?pag=7&f=&geo=p&from=list&lo=55,Alquiler ático atico espectacular en Tres Torres en Barcelona,Barcelona,Tres Torres,3290,239,13.77,5,2,1967,True
